,Year,Player,PF,PTS
958,1955,Mike Kearns,1,1
1243,1958,George Brown,1,1
2255,1966,Will Frazier,1,1
3192,1971,Earnie Killum,1,1
3611,1973,Roger Brown,1,1
5015,1978,Jim Ard,1,1
7358,1984,Charles Jones,1,1
12243,1995,Keith Tower,1,1
14298,1999,Kevin Ollie,1,1
14669,2000,Mark Hendrickson,1,1
16502,2004,Robert Archibald,1,1
17871,2006,Zendon Hamilton,1,1
21784,2013,Will Conroy,1,1
22419,2014,Dewayne Dedmon,1,1
23206,2015,Ricky Ledo,1,1
79,1950,Normie Glick,1,2
175,1950,Murray Mitchell,1,2
975,1955,Carl McNulty,1,2
1404,1959,Tommy Kearns,1,2
1715,1962,Rich Eichhorst,1,2
1819,1963,Joe Buckhalter,1,2
1857,1963,Dave Gunther,1,2
2063,1964,Roger Strickland,1,2
2337,1966,Ben Warley,1,2
2341,1966,Ron Watts,1,2
3923,1974,Jim Garvin,1,2
4779,1977,Rudy Hackett,1,2
5060,1978,Ticky Burden,1,2
6026,1980,Al Skinner,1,2
6236,1981,Tony Jackson,1,2
7509,1984,Linton Townes,1,2
7647,1985,Chris Engler,1,2
7691,1985,Ralph Jackson,1,2
7868,1985,Linton Townes,1,2
8043,1986,Claude Gregory,1,2
8095,1986,Yvon Joseph,1,2
8267,1986,Ennis Whatley,1,2
8661,1987,Pete Williams,1,2
8859,1988,Kannard Johnson,1,2
8881,1988,Jeff Lamp,1,2
9487,1989,Sedric Toney,1,2
10487,1992,Winston Bennett,1,2
10897,1992,Kennard Winchester,1,2
10995,1993,Chris Corchiani,1,2
11287,1993,Barry Stevens,1,2
11538,1994,Geert Hammink,1,2
11605,1994,Negele Knight,1,2
11666,1994,Darren Morningstar,1,2
12968,1997,Dell Demps,1,2
14378,1999,Miles Simon,1,2
14430,1999,Jamie Watson,1,2
14453,1999,Micheal Williams,1,2
14502,2000,Benoit Benjamin,1,2
14571,2000,Marty Conlon,1,2
15211,2001,Garth Joseph,1,2
15212,2001,Garth Joseph,1,2
15288,2001,Anthony Miller,1,2
16777,2004,Brevin Knight,1,2
16849,2004,Mikki Moore,1,2
16960,2004,Leon Smith,1,2
17582,2005,James Thomas,1,2
17988,2006,Stanislav Medvedenko,1,2
18402,2007,Mike Hall,1,2
18875,2008,Kaniel Dickens,1,2
19042,2008,Bobby Jones,1,2
19067,2008,Keith Langford,1,2
19727,2009,Demetris Nichols,1,2
19935,2010,Antonio Anderson,1,2
20815,2011,Othyus Jeffers,1,2
21255,2012,Ike Diogu,1,2
21968,2013,Kris Joseph,1,2
22008,2013,Shelvin Mack,1,2
22439,2014,Shane Edwards,1,2
22553,2014,Othyus Jeffers,1,2
23269,2015,Eric Moreland,1,2
23347,2015,Julius Randle,1,2
23680,2016,Jimmer Fredette,1,2
24065,2016,Briante Weber,1,2
3928,1974,Travis Grant,1,3
5908,1980,Carl Kilpatrick,1,3
6206,1981,Roy Hamilton,1,3
8196,1986,Derrick Rowland,1,3
9908,1990,Jerry Sichting,1,3
10685,1992,Jerome Lane,1,3
10846,1992,Derek Strong,1,3
11680,1994,Chuck Nevitt,1,3
12684,1996,Terrence Rencher,1,3
13333,1997,Matt Steigenga,1,3
14512,2000,Etdrick Bohannon,1,3
14735,2000,Antonio Lang,1,3
15902,2002,Larry Robinson,1,3
16901,2004,Kirk Penney,1,3
18755,2008,Lance Allred,1,3
20057,2010,Travis Diener,1,3
20058,2010,Travis Diener,1,3
20699,2011,Patrick Ewing,1,3
22071,2013,Tim Ohlbrecht,1,3
22184,2013,Malcolm Thomas,1,3
23191,2015,Andrei Kirilenko,1,3
23728,2016,Joe Harris,1,3
1241,1958,Doug Bolstorff,1,4
2503,1968,Jim Burns,1,4
2679,1969,Ed Biedenbach,1,4
3175,1971,A.W. Holt,1,4
3269,1971,Bill Stricker,1,4
3719,1973,Harvey Marlatt,1,4
5044,1978,Phil Bond,1,4
5392,1979,Gus Bailey,1,4
8053,1986,Jerome Henderson,1,4
8080,1986,George Johnson,1,4
8352,1987,Fred Cofield,1,4
8590,1987,McKinley Singleton,1,4
8625,1987,Andre Turner,1,4
9193,1989,Mark Davis,1,4
9257,1989,Steve Harris,1,4
9465,1989,John Stroeder,1,4
9949,1990,Andre Turner,1,4
10726,1992,Carlton McKinney,1,4
10859,1992,Bob Thornton,1,4
11189,1993,Dan O'Sullivan,1,4
11476,1994,Dell Demps,1,4
11550,1994,Skeeter Henry,1,4
11646,1994,Roy Marble,1,4
11871,1995,James Blackwell,1,4
11988,1995,Tate George,1,4
12006,1995,Geert Hammink,1,4
12482,1996,Geert Hammink,1,4
12483,1996,Geert Hammink,1,4
13807,1998,Carlos Rogers,1,4
13828,1998,Shea Seals,1,4
13903,1998,David Vaughn,1,4
14105,1999,Brian Evans,1,4
14157,1999,Steve Henson,1,4
14439,1999,Tyson Wheeler,1,4
16417,2003,Mark Strickland,1,4
16599,2004,Keon Clark,1,4
18700,2007,Dajuan Wagner,1,4
19153,2008,Bo Outlaw,1,4
19218,2008,Cedric Simmons,1,4
19467,2009,Austin Croshere,1,4
19536,2009,J.R. Giddens,1,4
19904,2009,Marcus Williams,1,4
20645,2011,Marcus Cousin,1,4
21368,2012,Darington Hobson,1,4
21620,2012,Ben Uzoh,1,4
22142,2013,Henry Sims,1,4
22707,2014,Josh Powell,1,4
23192,2015,Alex Kirk,1,4
23610,2016,Rakeem Christmas,1,4
24486,2017,Gary Neal,1,4
6841,1983,Billy Ray,1,5
8433,1987,Cedric Henderson,1,5
11117,1993,Stan Kimbrough,1,5
11299,1993,Terry Teagle,1,5
13747,1998,Jimmy Oliver,1,5
14994,2001,Raja Bell,1,5
15925,2002,Reggie Slater,1,5
17131,2005,Tony Bobbitt,1,5
17224,2005,Dan Dickau,1,5
19446,2009,Speedy Claxton,1,5
21375,2012,Dennis Horner,1,5
22116,2013,Quentin Richardson,1,5
22324,2014,Vander Blue,1,5
22828,2014,Sasha Vujacic,1,5
23751,2016,Kirk Hinrich,1,5
24498,2017,Steve Novak,1,5
2877,1970,Johnny Baum,1,6
5040,1978,Bob Bigelow,1,6
5449,1979,Michael Cooper,1,6
7468,1984,Lorenzo Romar,1,6
7475,1984,DeWayne Scales,1,6
8290,1986,Voise Winters,1,6
8434,1987,Cedric Henderson,1,6
8517,1987,Cozell McQueen,1,6
10294,1991,Jawann Oldham,1,6
10464,1992,Michael Ansley,1,6
10951,1993,Ricky Blanton,1,6
11119,1993,Rich King,1,6
11921,1995,Corey Crowder,1,6
12373,1996,Robert Churchwell,1,6
12731,1996,Reggie Slater,1,6
15499,2001,David Wingate,1,6
15656,2002,Joseph Forte,1,6
16572,2004,Tierre Brown,1,6
18781,2008,Andre Barrett,1,6
19036,2008,Linton Johnson,1,6
19823,2009,Courtney Sims,1,6
19825,2009,Courtney Sims,1,6
20836,2011,Trey Johnson,1,6
22207,2013,Jarvis Varnado,1,6
23033,2015,Zoran Dragic,1,6
23251,2015,Gal Mekel,1,6
2230,1966,Gary Bradds,1,7
2856,1969,Ken Wilburn,1,7
3172,1971,Al Henry,1,7
7442,1984,Roger Phegley,1,7
7855,1985,David Thirdkill,1,7
7950,1986,Ron Brewer,1,7
7981,1986,Jeff Cook,1,7
14845,2000,Eldridge Recasner,1,7
16768,2004,James Jones,1,7
17572,2005,Yuta Tabuse,1,7
19726,2009,Demetris Nichols,1,7
21030,2011,Pape Sy,1,7
21151,2012,Kelenna Azubuike,1,7
23681,2016,Jimmer Fredette,1,7
24016,2016,Jarnell Stokes,1,7
24018,2016,Jarnell Stokes,1,7
8926,1988,Johnny Moore,1,8
8927,1988,Johnny Moore,1,8
12375,1996,John Coker,1,8
16882,2004,Travis Outlaw,1,8
17174,2005,Geno Carlisle,1,8
20449,2010,Alando Tucker,1,8
21538,2012,Ryan Reid,1,8
23423,2015,David Stockton,1,8
24313,2017,Manny Harris,1,8
7062,1983,Steve Mix,1,9
8962,1988,Michael Phelps,1,9
12579,1996,Cuonzo Martin,1,9
17698,2006,Andre Barrett,1,9
23331,2015,Dwight Powell,1,9
24381,2017,Dahntay Jones,1,9
6734,1982,Jackie Robinson,1,10
12873,1997,Elmer Bennett,1,10
13470,1998,Tim Breaux,1,10
14693,2000,Sam Jacobson,1,10
15146,2001,Gary Grant,1,10
15360,2001,Elliot Perry,1,10
17740,2006,Rick Brunson,1,10
23524,2016,Cliff Alexander,1,10
8266,1986,Ennis Whatley,1,11
8452,1987,Myron Jackson,1,11
14695,2000,Tim James,1,11
20427,2010,Garrett Temple,1,11
21719,2013,Earl Barron,1,11
22851,2014,Reggie Williams,1,11
23007,2015,Luigi Datome,1,11
191,1950,George Nostrand,1,12
438,1951,Tommy O'Keefe,1,12
8574,1987,Ron Rowan,1,12
10446,1991,A.J. Wynder,1,12
13630,1998,Troy Hudson,1,12
14061,1999,John Crotty,1,12
14223,1999,Randy Livingston,1,12
16645,2004,Bryce Drew,1,12
19104,2008,Josh McRoberts,1,12
21211,2012,DeMarre Carroll,1,12
24254,2017,Jordan Farmar,1,12
9713,1990,Mike Higgins,1,13
13212,1997,Gaylon Nickerson,1,13
16163,2003,Anthony Goldwire,1,13
17841,2006,Reece Gaines,1,13
18156,2006,Tim Thomas,1,13
40,1950,Paul Cloyd,1,14
21614,2012,Edwin Ubiles,1,14
23896,2016,Luis Montero,1,14
13211,1997,Gaylon Nickerson,1,15
24287,2017,Archie Goodwin,1,15
7072,1983,Swen Nater,1,16
23661,2016,James Ennis,1,16
11124,1993,Bart Kofoed,1,17
23920,2016,Steve Novak,1,17
16306,2003,Mikki Moore,1,18
23488,2015,Elliot Williams,1,18
23336,2015,A.J. Price,1,22
24157,2017,Joel Bolomboy,1,22
16721,2004,Alan Henderson,1,24
24240,2017,Jarell Eddie,1,24
15634,2002,Derrick Dial,1,28
1603,1961,Mike Farmer,2,0
3762,1973,Luther Rackley,2,0
3778,1973,Bob Rule,2,0
4301,1975,Bob Rule,2,0
4600,1976,Greg Smith,2,0
5334,1978,Dean Tolson,2,0
5697,1979,Andre Wakefield,2,0
5981,1980,John Olive,2,0
6820,1982,Larry Wright,2,0
7898,1985,Dale Wilkinson,2,0
7987,1986,Ron Crevier,2,0
7989,1986,Ron Crevier,2,0
8379,1987,Darren Daye,2,0
8583,1987,John Schweitz,2,0
8713,1988,Dudley Bradley,2,0
8795,1988,Kevin Gamble,2,0
9165,1989,Mike Champion,2,0
9464,1989,John Stroeder,2,0
9905,1990,Dexter Shouse,2,0
9990,1990,Mike Williams,2,0
11314,1993,Duane Washington,2,0
11337,1993,Lorenzo Williams,2,0
11674,1994,Tod Murphy,2,0
11822,1994,Lorenzo Williams,2,0
11928,1995,Yinka Dare,2,0
12058,1995,Greg Kite,2,0
12826,1996,Joe Wolf,2,0
13179,1997,Anthony Miller,2,0
14203,1999,Jonathan Kerner,2,0
14786,2000,Jason Miskiri,2,0
15109,2001,Obinna Ekezie,2,0
16074,2003,Mark Bryant,2,0
16770,2004,Popeye Jones,2,0
16914,2004,Olden Polynice,2,0
17090,2005,Shandon Anderson,2,0
17955,2006,Maciej Lampe,2,0
18506,2007,Randy Livingston,2,0
19195,2008,Jeremy Richardson,2,0
19219,2008,Courtney Sims,2,0
21005,2011,Bobby Simmons,2,0
